id,RegionName,RegionCode
1,Arusha,2551
2,Dar Es Salaam,2552
3,Dodoma,2553
4,Tanga,2554
5,Kilimanjaro,2555
6,Manyara,2556
7,Geita,2557
8,Mara,2558
9,Mwanza,2559
10,Kagera,2560
11,Shinyanga,2561
12,Simiyu,2562
13,Singida,2563
14,Tabora,2564
15,Kigoma,2565
16,Katavi,2566
17,Iringa,2567
18,Mbeya,2568
19,Songwe,2569
20,Rukwa,2570
21,Ruvuma,2571
22,Njombe,2572
23,Pwani,2573
24,Mtwara,2574
25,Lindi,2575
26,Morogoro,2576
